scorer,DLC_resnet50_RatFeb2shuffle1_1160000,DLC_resnet50_RatFeb2shuffle1_1160000.1,DLC_resnet50_RatFeb2shuffle1_1160000.2,DLC_resnet50_RatFeb2shuffle1_1160000.3,DLC_resnet50_RatFeb2shuffle1_1160000.4,DLC_resnet50_RatFeb2shuffle1_1160000.5,DLC_resnet50_RatFeb2shuffle1_1160000.6,DLC_resnet50_RatFeb2shuffle1_1160000.7,DLC_resnet50_RatFeb2shuffle1_1160000.8,DLC_resnet50_RatFeb2shuffle1_1160000.9,DLC_resnet50_RatFeb2shuffle1_1160000.10,DLC_resnet50_RatFeb2shuffle1_1160000.11,DLC_resnet50_RatFeb2shuffle1_1160000.12,DLC_resnet50_RatFeb2shuffle1_1160000.13,DLC_resnet50_RatFeb2shuffle1_1160000.14,DLC_resnet50_RatFeb2shuffle1_1160000.15,DLC_resnet50_RatFeb2shuffle1_1160000.16,DLC_resnet50_RatFeb2shuffle1_1160000.17,DLC_resnet50_RatFeb2shuffle1_1160000.18,DLC_resnet50_RatFeb2shuffle1_1160000.19,DLC_resnet50_RatFeb2shuffle1_1160000.20,DLC_resnet50_RatFeb2shuffle1_1160000.21,DLC_resnet50_RatFeb2shuffle1_1160000.22,DLC_resnet50_RatFeb2shuffle1_1160000.23
bodyparts,Nose,Nose,Nose,LeftEye,LeftEye,LeftEye,LeftEar,LeftEar,LeftEar,RightEye,RightEye,RightEye,RightEar,RightEar,RightEar,HP_post,HP_post,HP_post,CameraBrace-joint,CameraBrace-joint,CameraBrace-joint,CameraBrace-top,CameraBrace-top,CameraBrace-top
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,2293.6845703125,1867.6956787109375,0.06191836670041084,2252.7353515625,1857.260986328125,0.3143477737903595,2210.493408203125,1863.11328125,0.19303497672080994,2252.628173828125,1857.0592041015625,0.8973820209503174,2213.981689453125,1865.4755859375,0.9961373209953308,2221.536376953125,1839.4771728515625,0.8645310401916504,2171.768798828125,1845.3443603515625,0.18052494525909424,2204.48388671875,1800.1715087890625,0.35175877809524536
1,2293.684814453125,1867.6956787109375,0.06192716956138611,2252.7353515625,1857.2613525390625,0.31425270438194275,2210.493896484375,1863.11279296875,0.19300304353237152,2252.628173828125,1857.0594482421875,0.8973584175109863,2213.982421875,1865.47607421875,0.9961368441581726,2221.53515625,1839.4769287109375,0.8645212650299072,2171.768798828125,1845.344482421875,0.1805296093225479,2204.483642578125,1800.1717529296875,0.35152938961982727
2,2340.60400390625,1872.8275146484375,0.9965797066688538,2294.316650390625,1866.4522705078125,0.09625078737735748,2256.89306640625,1872.3387451171875,0.13412916660308838,2294.916259765625,1867.603759765625,0.9926308393478394,2260.2021484375,1874.72314453125,0.9991719722747803,2278.720703125,1846.5224609375,0.9976029992103577,2203.1806640625,1852.3170166015625,0.6730259656906128,2203.59423828125,1807.6358642578125,0.4813457131385803
3,2353.08251953125,1873.0753173828125,0.9871861338615417,2307.107177734375,1866.441650390625,0.09580908715724945,2270.435791015625,1873.1800537109375,0.06607885658740997,2307.34130859375,1868.1263427734375,0.9964303374290466,2274.31201171875,1876.04638671875,0.9989960789680481,2292.218017578125,1848.424072265625,0.997320830821991,2217.809814453125,1853.58251953125,0.9704831838607788,2218.243408203125,1808.80029296875,0.8705946803092957
4,2353.181396484375,1873.0787353515625,0.984870970249176,2307.36328125,1866.8992919921875,0.12832635641098022,2273.652099609375,1875.253173828125,0.06439778953790665,2307.674072265625,1868.5123291015625,0.9968358874320984,2275.214599609375,1876.4842529296875,0.9993098974227905,2292.51123046875,1848.3404541015625,0.9976348876953125,2217.99560546875,1853.7601318359375,0.9742066264152527,2218.443359375,1809.2611083984375,0.8115532994270325
5,2363.011474609375,1861.66015625,0.9790626764297485,2320.168701171875,1867.196044921875,0.18969319760799408,2280.963623046875,1874.4947509765625,0.10943615436553955,2319.0341796875,1866.5572509765625,0.9916930794715881,2283.338623046875,1876.6011962890625,0.996749997138977,2300.427734375,1846.0618896484375,0.9982671737670898,2227.77099609375,1859.353515625,0.9988825917243958,2225.221435546875,1810.8289794921875,0.9771501421928406
6,2367.198486328125,1856.8309326171875,0.9615796208381653,2328.05029296875,1861.5865478515625,0.15971672534942627,2290.816162109375,1872.54638671875,0.16314665973186493,2328.47998046875,1862.4268798828125,0.9785348176956177,2293.4365234375,1875.1917724609375,0.9993460774421692,2305.382080078125,1843.3153076171875,0.9979878664016724,2236.82666015625,1863.6031494140625,0.9946934580802917,2229.09912109375,1816.3927001953125,0.9447624087333679
7,2381.421142578125,1847.805419921875,0.8287001252174377,2336.937744140625,1853.806884765625,0.20851664245128632,2302.003173828125,1867.368896484375,0.10255588591098785,2337.532470703125,1854.300048828125,0.9884656667709351,2303.269775390625,1869.4071044921875,0.9887136220932007,2311.6328125,1839.95263671875,0.995473325252533,2246.14892578125,1863.780029296875,0.9981471300125122,2236.425048828125,1815.60498046875,0.7878463864326477
8,2250.033447265625,1813.552978515625,0.9183056950569153,2354.0537109375,1851.53857421875,0.2804914116859436,2318.444580078125,1865.5059814453125,0.08962880074977875,2354.0009765625,1852.3426513671875,0.9923421740531921,2319.615234375,1866.7508544921875,0.9903432130813599,2329.920166015625,1837.8955078125,0.9870077967643738,2264.483154296875,1860.4271240234375,0.988004207611084,2275.945556640625,1816.6640625,0.7327182292938232
9,2414.46435546875,1844.1131591796875,0.9760423898696899,2374.445556640625,1851.982177734375,0.2599988281726837,2334.58447265625,1864.359130859375,0.0709351897239685,2374.710205078125,1852.8876953125,0.9944120049476624,2336.554443359375,1866.3690185546875,0.9953268766403198,2347.220947265625,1836.1378173828125,0.9893487691879272,2278.99072265625,1860.185546875,0.9984355568885803,2265.1640625,1815.51171875,0.8886637091636658
10,2426.534423828125,1839.9432373046875,0.9917709827423096,2385.51220703125,1847.806396484375,0.08983816206455231,2347.470458984375,1861.0234375,0.09167864918708801,2383.524658203125,1848.6181640625,0.9962192177772522,2349.534912109375,1863.968994140625,0.9961839318275452,2359.385986328125,1832.6798095703125,0.9952120780944824,2293.711669921875,1858.357666015625,0.9991700649261475,2280.0009765625,1813.8214111328125,0.984351634979248
11,2431.407470703125,1835.3797607421875,0.9503604173660278,2387.603271484375,1845.8927001953125,0.09852559864521027,2349.3427734375,1857.6639404296875,0.35187798738479614,2385.91259765625,1846.59423828125,0.9867493510246277,2350.9140625,1859.2484130859375,0.9922713041305542,2366.057373046875,1831.591064453125,0.9864745736122131,2297.19384765625,1859.133056640625,0.9985260963439941,2282.276123046875,1817.960205078125,0.9451566934585571
12,2434.1435546875,1824.6287841796875,0.9972411394119263,2390.9423828125,1840.994873046875,0.2606375217437744,2352.106201171875,1855.488525390625,0.19269075989723206,2390.423828125,1841.0810546875,0.990003764629364,2354.79638671875,1858.15185546875,0.998427152633667,2363.735107421875,1826.17041015625,0.9988197684288025,2299.58447265625,1857.5946044921875,0.9956995248794556,2280.940673828125,1818.7860107421875,0.9571712017059326
13,2431.771240234375,1823.71142578125,0.9932563304901123,2386.76171875,1837.3941650390625,0.28593891859054565,2352.301513671875,1854.9720458984375,0.13380078971385956,2388.49609375,1838.8934326171875,0.9851144552230835,2354.185302734375,1857.215087890625,0.9985113739967346,2363.099609375,1823.4110107421875,0.9970724582672119,2300.75927734375,1858.2813720703125,0.9969959259033203,2281.256103515625,1817.2103271484375,0.9590109586715698
14,2427.858642578125,1823.4825439453125,0.9888802766799927,2388.48046875,1834.454833984375,0.43391770124435425,2349.3330078125,1852.9964599609375,0.16573038697242737,2389.22265625,1835.3770751953125,0.9933932423591614,2351.63232421875,1854.045166015625,0.9891510009765625,2362.06298828125,1820.8646240234375,0.9715697169303894,2302.740966796875,1857.7493896484375,0.9980194568634033,2281.553955078125,1813.518798828125,0.980368435382843
15,2286.27783203125,1807.7325439453125,0.07494369149208069,2282.434326171875,1808.4200439453125,0.045077499002218246,2345.4072265625,1849.494140625,0.11979986727237701,2283.197998046875,1810.3592529296875,0.04462600126862526,2286.508544921875,1811.1575927734375,0.047760698944330215,2309.673095703125,1853.09765625,0.10555007308721542,2310.098876953125,1853.11181640625,0.9933567643165588,2285.83154296875,1807.738525390625,0.975229799747467
16,2434.388427734375,1066.109130859375,0.015391312539577484,1248.46826171875,1208.8341064453125,0.004344982095062733,1245.4056396484375,1201.0018310546875,0.0006903812172822654,1243.578125,1208.396240234375,0.0012974698329344392,1246.6429443359375,1201.4014892578125,0.00445230258628726,1246.9996337890625,1199.224609375,0.0007568463333882391,1246.906005859375,1206.344482421875,0.0004655966185964644,2039.0263671875,615.8964233398438,0.006497805472463369
17,2434.7978515625,1066.0137939453125,0.01029670424759388,1248.7896728515625,1209.1080322265625,0.0034308754839003086,1244.0728759765625,1200.432861328125,0.0006691257003694773,1958.2794189453125,2150.388671875,0.0046079992316663265,1247.1602783203125,1201.1607666015625,0.004373947624117136,1247.0147705078125,1199.102294921875,0.0007587571744807065,2358.862060546875,1362.958740234375,0.006752555258572102,2040.6947021484375,615.7593994140625,0.005068561062216759
18,2433.80029296875,1066.5626220703125,0.007846814580261707,1248.960205078125,1208.805908203125,0.0037335322704166174,1244.2191162109375,1200.1885986328125,0.0007428330718539655,1958.3140869140625,2150.462646484375,0.003743184730410576,1247.3741455078125,1200.9031982421875,0.004507590550929308,1247.2017822265625,1198.957275390625,0.0008351829601451755,2064.093505859375,2121.099609375,0.0015794497448951006,2040.69921875,615.4825439453125,0.007327202241867781
19,1245.2457275390625,1202.0430908203125,0.003394674276933074,1248.0286865234375,1208.5277099609375,0.005142552312463522,2031.9183349609375,617.8959350585938,0.0008199254516512156,1242.9749755859375,1207.902099609375,0.0011667584767565131,1246.43603515625,1200.77880859375,0.004060804843902588,1953.375732421875,2129.220947265625,0.0014844594988971949,1953.9642333984375,2123.691162109375,0.007163432892411947,2038.66162109375,615.185302734375,0.009637993760406971
20,2453.3603515625,1824.18017578125,0.9890514016151428,2416.172119140625,1825.326416015625,0.4484543800354004,2449.5263671875,1828.521728515625,0.06051016226410866,2417.293212890625,1824.88916015625,0.9803316593170166,2397.3076171875,1807.0985107421875,0.047502633184194565,2397.8544921875,1805.0435791015625,0.9152597188949585,2396.15625,1800.625244140625,0.04701848700642586,2450.9638671875,1825.07421875,0.02405598759651184
21,2454.41015625,1822.970458984375,0.9972397089004517,2409.236328125,1828.1240234375,0.24409492313861847,2452.534912109375,1828.7825927734375,0.09031739830970764,2409.5009765625,1827.931640625,0.9884169697761536,2370.781005859375,1838.3045654296875,0.9974370002746582,2394.863037109375,1805.51611328125,0.9865702986717224,2335.121826171875,1824.1864013671875,0.9916403293609619,2320.414794921875,1776.75634765625,0.7831083536148071
22,2455.48876953125,1826.1607666015625,0.9957491159439087,2408.380126953125,1829.673583984375,0.24890118837356567,2452.919921875,1830.8040771484375,0.10861636698246002,2409.70654296875,1828.8199462890625,0.9880992770195007,2370.828369140625,1839.40185546875,0.9970995187759399,2394.2001953125,1806.2491455078125,0.9906256198883057,2338.80517578125,1824.9852294921875,0.9949415326118469,2365.1630859375,1763.18115234375,0.14256222546100616
23,2455.578857421875,1829.35107421875,0.9945515990257263,2408.834716796875,1830.8251953125,0.30421239137649536,2452.7353515625,1832.431396484375,0.08874014019966125,2409.98681640625,1830.4410400390625,0.9834595322608948,2369.781005859375,1839.6971435546875,0.9976257681846619,2395.514892578125,1806.561767578125,0.9906303286552429,2339.279541015625,1823.8507080078125,0.9895772933959961,2336.889892578125,1819.6912841796875,0.08396866172552109
24,2455.724853515625,1831.825439453125,0.9826503396034241,2407.448486328125,1831.0633544921875,0.24246317148208618,2451.751708984375,1839.5284423828125,0.2684149742126465,2408.677734375,1830.74609375,0.9914414882659912,2367.448486328125,1839.2503662109375,0.9946045279502869,2394.59619140625,1805.9169921875,0.9897727370262146,2339.84423828125,1821.9814453125,0.9767555594444275,2338.6318359375,1781.020751953125,0.8905487656593323
25,2453.622314453125,1831.6126708984375,0.9910963773727417,2406.63818359375,1830.8897705078125,0.15272779762744904,2451.453125,1837.7113037109375,0.09508181363344193,2407.699951171875,1830.870849609375,0.9921058416366577,2369.39013671875,1840.432861328125,0.9984739422798157,2394.547607421875,1805.580810546875,0.9884831309318542,2345.36865234375,1819.382568359375,0.9401146173477173,2340.713134765625,1780.9822998046875,0.8363246321678162
26,2454.453125,1838.481201171875,0.9760223031044006,2408.17724609375,1832.2867431640625,0.17362451553344727,2450.893310546875,1844.77783203125,0.3162670433521271,2408.732666015625,1833.4658203125,0.9945594668388367,2369.44091796875,1841.095947265625,0.998836100101471,2396.96875,1807.73779296875,0.9950889945030212,2347.88671875,1817.6878662109375,0.8801309466362,2344.12109375,1778.6544189453125,0.09161023050546646
27,2456.275634765625,1845.101318359375,0.9947993755340576,2410.82275390625,1839.4998779296875,0.25535503029823303,2453.657958984375,1852.5517578125,0.12073460966348648,2410.279052734375,1838.8380126953125,0.9942194223403931,2370.975830078125,1843.335205078125,0.9993670582771301,2401.917724609375,1812.291748046875,0.9959241151809692,2349.72509765625,1816.7977294921875,0.9208168387413025,2349.573974609375,1777.68212890625,0.2522890567779541
28,2456.915283203125,1846.1849365234375,0.9935154914855957,2413.034423828125,1843.4798583984375,0.28108471632003784,2371.620849609375,1843.189453125,0.14983324706554413,2412.323974609375,1842.6519775390625,0.9938417673110962,2373.424560546875,1845.6968994140625,0.9991707801818848,2403.82666015625,1814.166748046875,0.9974977374076843,2348.81103515625,1817.424560546875,0.9810572862625122,2339.02783203125,1770.6195068359375,0.7304960489273071
